SSXL-ext Live LOC Report
Generated (UTC): 2025-11-11 02:37:41
Generated (Epoch Seconds): 1762828662
Root Directories: .\rust, .\SSXL_engine_tester
Target Extensions: rs, gd, gdc, toml, md

------------------------------------------------------
 FILE LOC | Relative File Path
------------------------------------------------------
        0 LOC | rust\config
        0 LOC | rust\ssxl_animate
        0 LOC | rust\ssxl_cache
        0 LOC | rust\ssxl_cli
        0 LOC | rust\ssxl_engine_ffi
        0 LOC | rust\ssxl_generate
        0 LOC | rust\ssxl_godot
        0 LOC | rust\ssxl_math
        0 LOC | rust\ssxl_shared
        0 LOC | rust\ssxl_sync
        0 LOC | rust\ssxl_tools
       82 LOC | rust\cargo.toml
       76 LOC | rust\manifest.rs
        8 LOC | rust\manifest_tips.rs
        9 LOC | rust\no_space_batch.rs
       13 LOC | rust\config\engine.toml
        0 LOC | rust\ssxl_animate\src
       21 LOC | rust\ssxl_animate\Cargo.toml
       28 LOC | rust\ssxl_animate\src\animation_logic.rs
       52 LOC | rust\ssxl_animate\src\conductor.rs
       83 LOC | rust\ssxl_animate\src\lib.rs
       12 LOC | rust\ssxl_animate\src\worker.rs
        0 LOC | rust\ssxl_cache\src
       13 LOC | rust\ssxl_cache\Cargo.toml
       89 LOC | rust\ssxl_cache\src\lib.rs
        0 LOC | rust\ssxl_cli\src
       34 LOC | rust\ssxl_cli\Cargo.toml
        0 LOC | rust\ssxl_cli\src\actions
        0 LOC | rust\ssxl_cli\src\scan
      176 LOC | rust\ssxl_cli\src\cli_util_bench.rs
      152 LOC | rust\ssxl_cli\src\cli_util_inspect.rs
      125 LOC | rust\ssxl_cli\src\cli_util_menu.rs
      124 LOC | rust\ssxl_cli\src\main.rs
       99 LOC | rust\ssxl_cli\src\actions\benchmarking.rs
      117 LOC | rust\ssxl_cli\src\actions\godot_harness.rs
       68 LOC | rust\ssxl_cli\src\actions\mod.rs
       47 LOC | rust\ssxl_cli\src\actions\testing.rs
       90 LOC | rust\ssxl_cli\src\actions\test_core_suites.rs
      137 LOC | rust\ssxl_cli\src\actions\test_suites.rs
      120 LOC | rust\ssxl_cli\src\scan\file_walker.rs
       13 LOC | rust\ssxl_cli\src\scan\mod.rs
      184 LOC | rust\ssxl_cli\src\scan\report_formatter.rs
        0 LOC | rust\ssxl_engine_ffi\src
       17 LOC | rust\ssxl_engine_ffi\Cargo.toml
      130 LOC | rust\ssxl_engine_ffi\src\lib.rs
        0 LOC | rust\ssxl_generate\src
       25 LOC | rust\ssxl_generate\Cargo.toml
        0 LOC | rust\ssxl_generate\src\ca
       88 LOC | rust\ssxl_generate\src\batch_processor.rs
       25 LOC | rust\ssxl_generate\src\benchmark_logic.rs
      176 LOC | rust\ssxl_generate\src\cellular_automata_generator.rs
      193 LOC | rust\ssxl_generate\src\conductor.rs
      105 LOC | rust\ssxl_generate\src\conductor_state.rs
       83 LOC | rust\ssxl_generate\src\config_validator.rs
       30 LOC | rust\ssxl_generate\src\generator.rs
       82 LOC | rust\ssxl_generate\src\generator_manager.rs
       71 LOC | rust\ssxl_generate\src\lib.rs
       97 LOC | rust\ssxl_generate\src\perlin_generator.rs
       50 LOC | rust\ssxl_generate\src\runtime_manager.rs
       19 LOC | rust\ssxl_generate\src\sync.rs
      143 LOC | rust\ssxl_generate\src\task_queue.rs
       16 LOC | rust\ssxl_generate\src\ca\mod.rs
       44 LOC | rust\ssxl_generate\src\ca\neighbor_check.rs
       56 LOC | rust\ssxl_generate\src\ca\rule_set.rs
        0 LOC | rust\ssxl_godot\src
       29 LOC | rust\ssxl_godot\Cargo.toml
      166 LOC | rust\ssxl_godot\src\animation_api.rs
      132 LOC | rust\ssxl_godot\src\api_initializers.rs
      161 LOC | rust\ssxl_godot\src\async_poll.rs
       67 LOC | rust\ssxl_godot\src\build.rs
      116 LOC | rust\ssxl_godot\src\channel_handler.rs
      166 LOC | rust\ssxl_godot\src\chunk_presenter.rs
       91 LOC | rust\ssxl_godot\src\engine_core_logic.rs
       56 LOC | rust\ssxl_godot\src\gde_api_defs.rs
      144 LOC | rust\ssxl_godot\src\generation_api.rs
       56 LOC | rust\ssxl_godot\src\lib.rs
      162 LOC | rust\ssxl_godot\src\ssxl_engine.rs
      108 LOC | rust\ssxl_godot\src\ssxl_oracle.rs
       59 LOC | rust\ssxl_godot\src\ssxl_signals.rs
       50 LOC | rust\ssxl_godot\src\status_reporter.rs
        0 LOC | rust\ssxl_math\src
       16 LOC | rust\ssxl_math\Cargo.toml
      118 LOC | rust\ssxl_math\src\coordinate_system.rs
       62 LOC | rust\ssxl_math\src\generation_utils.rs
       97 LOC | rust\ssxl_math\src\hashing.rs
       50 LOC | rust\ssxl_math\src\lib.rs
       58 LOC | rust\ssxl_math\src\primitives.rs
        0 LOC | rust\ssxl_shared\src
       14 LOC | rust\ssxl_shared\cargo.toml
      162 LOC | rust\ssxl_shared\src\chunk_data.rs
       22 LOC | rust\ssxl_shared\src\config.rs
       60 LOC | rust\ssxl_shared\src\errors.rs
       40 LOC | rust\ssxl_shared\src\generation_message.rs
       64 LOC | rust\ssxl_shared\src\grid_bounds.rs
       72 LOC | rust\ssxl_shared\src\lib.rs
       41 LOC | rust\ssxl_shared\src\math_primitives.rs
       25 LOC | rust\ssxl_shared\src\messages.rs
      123 LOC | rust\ssxl_shared\src\tile_data.rs
      107 LOC | rust\ssxl_shared\src\tile_type.rs
        0 LOC | rust\ssxl_sync\src
       23 LOC | rust\ssxl_sync\Cargo.toml
      246 LOC | rust\ssxl_sync\src\animation_conductor.rs
       65 LOC | rust\ssxl_sync\src\lib.rs
      149 LOC | rust\ssxl_sync\src\pool_manager.rs
       44 LOC | rust\ssxl_sync\src\primitives.rs
        0 LOC | rust\ssxl_tools\src
       11 LOC | rust\ssxl_tools\Cargo.toml
      127 LOC | rust\ssxl_tools\src\lib.rs
        0 LOC | rust\target\debug
        0 LOC | rust\target\debug\.fingerprint
        0 LOC | rust\target\debug\build
        0 LOC | rust\target\debug\deps
        0 LOC | rust\target\debug\examples
        0 LOC | rust\target\debug\incremental
        0 LOC | rust\target\debug\.fingerprint\adler2-a817aa961bc4ba95
        0 LOC | rust\target\debug\.fingerprint\aho-corasick-99d59489adb37323
        0 LOC | rust\target\debug\.fingerprint\anyhow-1811a29b138307f2
        0 LOC | rust\target\debug\.fingerprint\anyhow-59027e4fd27fcbd2
        0 LOC | rust\target\debug\.fingerprint\anyhow-82e2d8d77d790d93
        0 LOC | rust\target\debug\.fingerprint\async-trait-659f9c2e857f7064
        0 LOC | rust\target\debug\.fingerprint\autocfg-c2efa760b0fc7793
        0 LOC | rust\target\debug\.fingerprint\bincode-e6279d05c7301d4b
        0 LOC | rust\target\debug\.fingerprint\bindgen-2b189151e3910da1
        0 LOC | rust\target\debug\.fingerprint\bindgen-2c87e29874bfa535
        0 LOC | rust\target\debug\.fingerprint\bindgen-907efc2c31a283e9
        0 LOC | rust\target\debug\.fingerprint\bitflags-51ce0b49603a3905
        0 LOC | rust\target\debug\.fingerprint\bitflags-dfca5c4ffa4f1d59
        0 LOC | rust\target\debug\.fingerprint\bit_field-c596a34e41cfa591
        0 LOC | rust\target\debug\.fingerprint\block-buffer-5f642387e36f6031
        0 LOC | rust\target\debug\.fingerprint\bytemuck-f9d8acb66ab77ebe
        0 LOC | rust\target\debug\.fingerprint\byteorder-d8a0d051f37c2508
        0 LOC | rust\target\debug\.fingerprint\bytes-6e1b71233944c901
        0 LOC | rust\target\debug\.fingerprint\cexpr-13bb597f88870feb
        0 LOC | rust\target\debug\.fingerprint\cfg-if-c6c59aeea06f958d
        0 LOC | rust\target\debug\.fingerprint\chrono-56645a7acd41a06e
        0 LOC | rust\target\debug\.fingerprint\clang-sys-2a22e5aa62160854
        0 LOC | rust\target\debug\.fingerprint\clang-sys-92ce8e3b66c722aa
        0 LOC | rust\target\debug\.fingerprint\clang-sys-e356da8f2eab0fa2
        0 LOC | rust\target\debug\.fingerprint\color_quant-1186ddca2d2a7d66
